episode,q_learning_run_1,q_learning_run_2,q_learning_run_3,q_learning_run_4,q_learning_run_5,q_learning_run_6,q_learning_run_7,q_learning_run_8,q_learning_run_9,q_learning_run_10
1,-2246.000000,-2232.000000,-2539.000000,-1950.000000,-2008.000000,-2059.000000,-2031.000000,-3772.000000,-1716.000000,-2142.000000
2,-627.000000,-697.000000,-762.000000,-835.000000,-1118.000000,-584.000000,-854.000000,-86.000000,-1076.000000,-208.000000
3,-566.000000,-329.000000,-403.000000,-381.000000,-569.000000,-363.000000,-682.000000,-124.000000,-320.000000,-564.000000
4,-163.000000,-529.000000,-476.000000,-209.000000,-179.000000,-337.000000,-105.000000,-1507.000000,-1013.000000,-631.000000
5,-802.000000,-703.000000,-269.000000,-936.000000,-1184.000000,-383.000000,-156.000000,-245.000000,-267.000000,-922.000000
6,-435.000000,-128.000000,-437.000000,-126.000000,-123.000000,-251.000000,-364.000000,-560.000000,-428.000000,-191.000000
7,-408.000000,-118.000000,-690.000000,-469.000000,-129.000000,-553.000000,-420.000000,-75.000000,-527.000000,-265.000000
8,-154.000000,-218.000000,-148.000000,-193.000000,-86.000000,-94.000000,-27.000000,-115.000000,-224.000000,-196.000000
9,-621.000000,-184.000000,-147.000000,-72.000000,-501.000000,-644.000000,-553.000000,-1039.000000,-284.000000,-483.000000
10,-62.000000,-835.000000,-52.000000,-130.000000,-240.000000,-59.000000,-54.000000,-223.000000,-54.000000,-329.000000
11,-411.000000,-94.000000,-137.000000,-426.000000,-491.000000,-607.000000,-115.000000,-413.000000,-360.000000,-26.000000
12,-291.000000,-119.000000,-97.000000,-242.000000,-269.000000,-311.000000,-125.000000,-270.000000,-376.000000,-387.000000
13,-44.000000,-73.000000,-248.000000,-84.000000,-57.000000,-141.000000,-684.000000,-81.000000,-93.000000,-95.000000
14,-479.000000,-574.000000,-246.000000,-133.000000,-78.000000,-348.000000,-106.000000,-62.000000,-417.000000,-55.000000
15,-258.000000,-54.000000,-341.000000,-184.000000,-130.000000,-540.000000,-112.000000,-249.000000,-33.000000,-108.000000
16,-75.000000,-226.000000,-264.000000,-123.000000,-212.000000,-69.000000,-90.000000,-55.000000,-169.000000,-124.000000
17,-61.000000,-156.000000,-118.000000,-147.000000,-103.000000,-95.000000,-225.000000,-122.000000,-302.000000,-207.000000
18,-348.000000,-111.000000,-56.000000,-133.000000,-524.000000,-71.000000,-414.000000,-72.000000,-82.000000,-193.000000
19,-1369.000000,-200.000000,-191.000000,-113.000000,-322.000000,-349.000000,-25.000000,-204.000000,-49.000000,-511.000000
20,-93.000000,-90.000000,-158.000000,-142.000000,-323.000000,-129.000000,-65.000000,-255.000000,-98.000000,-328.000000
21,-95.000000,-74.000000,-93.000000,-122.000000,-63.000000,-46.000000,-235.000000,-36.000000,-87.000000,-100.000000
22,-68.000000,-69.000000,-220.000000,-107.000000,-110.000000,-78.000000,-101.000000,-239.000000,-61.000000,-141.000000
23,-81.000000,-239.000000,-219.000000,-409.000000,-96.000000,-54.000000,-72.000000,-139.000000,-242.000000,-73.000000
24,-48.000000,-274.000000,-41.000000,-63.000000,-196.000000,-89.000000,-96.000000,-32.000000,-242.000000,-46.000000
25,-88.000000,-288.000000,-56.000000,-158.000000,-140.000000,-90.000000,-55.000000,-98.000000,-294.000000,-80.000000
26,-180.000000,-76.000000,-82.000000,-365.000000,-182.000000,-75.000000,-208.000000,-66.000000,-96.000000,-70.000000
27,-98.000000,-202.000000,-66.000000,-55.000000,-51.000000,-83.000000,-205.000000,-367.000000,-155.000000,-53.000000
28,-419.000000,-530.000000,-112.000000,-177.000000,-315.000000,-81.000000,-29.000000,-49.000000,-219.000000,-66.000000
29,-76.000000,-327.000000,-73.000000,-60.000000,-96.000000,-45.000000,-217.000000,-22.000000,-69.000000,-240.000000
30,-143.000000,-198.000000,-51.000000,-110.000000,-304.000000,-323.000000,-74.000000,-773.000000,-59.000000,-179.000000
31,-36.000000,-178.000000,-77.000000,-80.000000,-155.000000,-67.000000,-428.000000,-77.000000,-39.000000,-39.000000
32,-472.000000,-91.000000,-315.000000,-95.000000,-35.000000,-45.000000,-23.000000,-51.000000,-88.000000,-222.000000
33,-53.000000,-48.000000,-71.000000,-299.000000,-88.000000,-60.000000,-79.000000,-54.000000,-386.000000,-164.000000
34,-51.000000,-50.000000,-55.000000,-58.000000,-192.000000,-70.000000,-78.000000,-188.000000,-82.000000,-37.000000
35,-74.000000,-66.000000,-94.000000,-168.000000,-43.000000,-305.000000,-377.000000,-49.000000,-93.000000,-333.000000
36,-171.000000,-61.000000,-60.000000,-119.000000,-87.000000,-40.000000,-49.000000,-254.000000,-62.000000,-67.000000
37,-45.000000,-49.000000,-52.000000,-76.000000,-170.000000,-80.000000,-43.000000,-42.000000,-163.000000,-151.000000
38,-421.000000,-65.000000,-220.000000,-157.000000,-46.000000,-60.000000,-110.000000,-44.000000,-28.000000,-47.000000
39,-141.000000,-57.000000,-46.000000,-296.000000,-57.000000,-75.000000,-36.000000,-208.000000,-81.000000,-88.000000
40,-52.000000,-199.000000,-231.000000,-218.000000,-73.000000,-284.000000,-25.000000,-30.000000,-76.000000,-62.000000
41,-57.000000,-63.000000,-51.000000,-67.000000,-42.000000,-67.000000,-194.000000,-62.000000,-61.000000,-65.000000
