episode,sarsa_run_1,sarsa_run_2,sarsa_run_3,sarsa_run_4,sarsa_run_5,sarsa_run_6,sarsa_run_7,sarsa_run_8,sarsa_run_9,sarsa_run_10
1,-1546.000000,-2425.000000,-2167.000000,-2043.000000,-2549.000000,-2636.000000,-2310.000000,-2257.000000,-2498.000000,-2444.000000
2,-1010.000000,-385.000000,-414.000000,-646.000000,-476.000000,-222.000000,-453.000000,-510.000000,-303.000000,-777.000000
3,-327.000000,-588.000000,-482.000000,-99.000000,-1053.000000,-223.000000,-211.000000,-831.000000,-562.000000,-467.000000
4,-145.000000,-381.000000,-190.000000,-482.000000,-137.000000,-694.000000,-348.000000,-583.000000,-241.000000,-278.000000
5,-197.000000,-332.000000,-482.000000,-352.000000,-196.000000,-183.000000,-775.000000,-171.000000,-634.000000,-211.000000
6,-274.000000,-467.000000,-657.000000,-258.000000,-502.000000,-60.000000,-727.000000,-606.000000,-917.000000,-177.000000
7,-181.000000,-146.000000,-313.000000,-285.000000,-169.000000,-738.000000,-257.000000,-225.000000,-395.000000,-133.000000
8,-191.000000,-584.000000,-277.000000,-295.000000,-199.000000,-243.000000,-108.000000,-524.000000,-350.000000,-284.000000
9,-101.000000,-633.000000,-189.000000,-306.000000,-112.000000,-85.000000,-181.000000,-172.000000,-142.000000,-173.000000
10,-91.000000,-98.000000,-212.000000,-123.000000,-55.000000,-91.000000,-110.000000,-211.000000,-167.000000,-241.000000
11,-557.000000,-79.000000,-98.000000,-116.000000,-341.000000,-165.000000,-87.000000,-198.000000,-370.000000,-65.000000
12,-165.000000,-141.000000,-172.000000,-398.000000,-66.000000,-687.000000,-408.000000,-119.000000,-108.000000,-290.000000
13,-304.000000,-388.000000,-215.000000,-291.000000,-115.000000,-177.000000,-93.000000,-66.000000,-202.000000,-107.000000
14,-101.000000,-96.000000,-238.000000,-119.000000,-104.000000,-244.000000,-86.000000,-74.000000,-268.000000,-233.000000
15,-277.000000,-63.000000,-207.000000,-283.000000,-75.000000,-83.000000,-107.000000,-105.000000,-88.000000,-107.000000
16,-58.000000,-99.000000,-98.000000,-281.000000,-155.000000,-52.000000,-431.000000,-93.000000,-159.000000,-89.000000
17,-268.000000,-218.000000,-360.000000,-55.000000,-287.000000,-144.000000,-62.000000,-220.000000,-40.000000,-129.000000
18,-107.000000,-341.000000,-98.000000,-118.000000,-187.000000,-92.000000,-92.000000,-165.000000,-120.000000,-453.000000
19,-50.000000,-64.000000,-87.000000,-81.000000,-75.000000,-131.000000,-199.000000,-37.000000,-50.000000,-75.000000
20,-72.000000,-89.000000,-71.000000,-106.000000,-86.000000,-108.000000,-52.000000,-147.000000,-156.000000,-99.000000
21,-104.000000,-46.000000,-43.000000,-59.000000,-234.000000,-51.000000,-79.000000,-39.000000,-121.000000,-112.000000
22,-186.000000,-78.000000,-105.000000,-225.000000,-57.000000,-135.000000,-39.000000,-83.000000,-41.000000,-53.000000
23,-81.000000,-202.000000,-58.000000,-91.000000,-63.000000,-48.000000,-113.000000,-55.000000,-265.000000,-45.000000
24,-609.000000,-110.000000,-223.000000,-209.000000,-108.000000,-90.000000,-52.000000,-85.000000,-236.000000,-281.000000
25,-223.000000,-358.000000,-201.000000,-205.000000,-36.000000,-109.000000,-220.000000,-207.000000,-107.000000,-81.000000
26,-82.000000,-70.000000,-31.000000,-269.000000,-101.000000,-84.000000,-71.000000,-52.000000,-263.000000,-79.000000
27,-58.000000,-529.000000,-109.000000,-179.000000,-83.000000,-70.000000,-53.000000,-205.000000,-63.000000,-217.000000
28,-93.000000,-45.000000,-72.000000,-73.000000,-58.000000,-186.000000,-44.000000,-44.000000,-73.000000,-95.000000
29,-88.000000,-145.000000,-270.000000,-62.000000,-682.000000,-74.000000,-108.000000,-249.000000,-68.000000,-405.000000
