episode,q_learning_mean_reward,q_learning_moving_average,q_learning_rolling_std,sarsa_mean_reward,sarsa_moving_average,sarsa_rolling_std
1,-2269.500000,-2269.500000,0.000000,-2287.500000,-2287.500000,0.000000
2,-684.700000,-1477.100000,792.400000,-519.600000,-1403.550000,883.950000
3,-430.100000,-1128.100000,828.024402,-484.300000,-1097.133333,860.161246
4,-514.900000,-974.800000,793.700527,-347.900000,-909.825000,821.512573
5,-586.700000,-897.180000,743.858325,-353.300000,-798.520000,774.935322
6,-304.300000,-798.366667,719.174654,-464.500000,-742.850000,723.122153
7,-365.400000,-736.514286,686.602111,-284.200000,-677.328571,692.130905
8,-145.500000,-662.637500,672.174210,-305.500000,-630.850000,660.564227
9,-452.800000,-639.322222,642.962704,-209.400000,-584.022222,638.507359
10,-203.800000,-595.770000,628.908050,-139.900000,-539.610000,620.579791
11,-308.000000,-399.620000,289.123525,-207.600000,-331.620000,218.431681
12,-248.700000,-356.020000,256.593200,-255.400000,-305.200000,199.126692
13,-160.000000,-329.010000,264.060899,-195.800000,-276.350000,172.888925
14,-249.800000,-302.500000,235.895871,-156.300000,-257.190000,168.422698
15,-200.900000,-263.920000,191.439116,-139.500000,-235.810000,163.053577
16,-140.700000,-247.560000,191.799585,-151.500000,-204.510000,126.274649
17,-153.600000,-226.380000,176.064040,-178.300000,-193.920000,123.552637
18,-200.400000,-231.870000,180.031641,-177.300000,-181.100000,116.239104
19,-333.300000,-219.920000,175.311773,-84.900000,-168.650000,112.887309
20,-168.100000,-216.350000,163.595917,-98.600000,-164.520000,113.152627
21,-95.100000,-195.060000,151.089666,-88.800000,-152.640000,103.664036
22,-119.400000,-182.130000,147.145896,-100.200000,-137.120000,87.327185
23,-162.400000,-182.370000,144.719140,-102.100000,-127.750000,84.113879
24,-112.700000,-168.660000,135.151387,-200.300000,-132.150000,90.284454
25,-134.700000,-162.040000,127.274217,-174.700000,-135.670000,92.579043
26,-140.000000,-161.970000,128.633993,-110.200000,-131.540000,88.299158
27,-133.500000,-159.960000,131.689328,-156.600000,-129.370000,86.052383
28,-199.700000,-159.890000,129.444778,-78.300000,-119.470000,81.913941
29,-122.500000,-138.810000,89.552311,-215.100000,-132.490000,100.452664
30,-221.400000,-144.140000,102.569172,-97.600000,-132.390000,101.623308
31,-117.600000,-146.390000,106.180241,-185.300000,-142.040000,111.928804
32,-143.700000,-148.820000,114.546989,-113.700000,-143.390000,110.812767
33,-130.200000,-145.600000,115.832222,-153.500000,-148.530000,110.108625
34,-86.100000,-142.940000,116.253044,-108.900000,-139.390000,102.249747
35,-160.200000,-145.490000,122.261033,-130.900000,-135.010000,103.390084
36,-97.000000,-141.190000,120.098249,-98.000000,-133.790000,99.783715
37,-87.100000,-136.550000,119.724606,-116.800000,-129.810000,95.920477
38,-119.800000,-128.560000,112.557253,-89.300000,-130.910000,95.854134
39,-108.500000,-127.160000,109.679294,-88.400000,-118.240000,82.389041
40,-125.000000,-117.520000,94.049503,-80.900000,-116.570000,82.845565
41,-72.900000,-113.050000,88.976224,-120.100000,-110.050000,74.636044
42,-75.600000,-106.240000,81.963490,-90.500000,-107.730000,74.673520
43,-143.300000,-107.550000,83.328768,-77.600000,-100.140000,71.980155
44,-103.100000,-109.250000,84.124722,-66.000000,-95.850000,65.628868
45,-90.800000,-102.310000,78.855945,-85.200000,-91.280000,62.133856
46,-94.500000,-102.060000,78.306414,-83.800000,-89.860000,61.449846
47,-98.000000,-103.150000,80.985513,-73.100000,-85.490000,56.638646
48,-107.200000,-101.890000,77.731883,-57.500000,-82.310000,53.344132
49,-110.300000,-102.070000,75.581136,-59.000000,-79.370000,51.627877
50,-104.800000,-100.050000,70.373384,-86.500000,-79.930000,54.670468
51,-114.900000,-104.250000,76.155819,-91.800000,-77.100000,48.794022
52,-98.900000,-106.580000,77.360645,-56.300000,-73.680000,48.344297
53,-72.600000,-99.510000,69.902260,-75.100000,-73.430000,47.080807
54,-104.500000,-99.650000,69.995417,-94.100000,-76.240000,49.457660
55,-84.500000,-99.020000,69.985835,-109.600000,-78.680000,54.388474
56,-136.200000,-103.190000,71.214652,-107.800000,-81.080000,59.860696
57,-81.400000,-101.530000,67.947587,-69.800000,-80.750000,62.177105
58,-70.200000,-97.830000,65.368835,-114.800000,-86.480000,65.831123
59,-190.700000,-105.870000,93.432554,-61.300000,-86.710000,67.326261
60,-100.500000,-105.440000,91.115212,-117.300000,-89.790000,70.792559
61,-117.900000,-105.740000,96.617210,-74.500000,-88.060000,68.886326
62,-49.700000,-100.820000,97.663222,-43.000000,-86.730000,69.359021
63,-87.100000,-102.270000,96.953117,-77.600000,-86.980000,68.360789
64,-61.600000,-97.980000,96.263185,-50.200000,-82.590000,66.366447
65,-123.400000,-101.870000,97.815254,-69.100000,-78.540000,60.368661
66,-83.200000,-96.570000,89.083726,-59.400000,-73.700000,55.627148
67,-126.900000,-101.120000,100.693478,-54.000000,-72.120000,51.769079
68,-107.200000,-104.820000,102.253206,-47.100000,-65.350000,45.489696
69,-55.800000,-91.330000,83.047921,-65.600000,-65.780000,47.817974
70,-98.800000,-91.160000,82.755072,-112.300000,-65.280000,42.274215
71,-66.700000,-86.040000,74.537794,-64.800000,-64.310000,41.171304
72,-76.800000,-88.750000,80.984726,-61.300000,-66.140000,41.828363
73,-68.600000,-86.900000,83.617408,-80.900000,-66.470000,42.923642
74,-74.400000,-88.180000,85.325819,-77.700000,-69.220000,45.073338
75,-72.000000,-83.040000,78.267542,-67.000000,-69.010000,44.140682
76,-87.200000,-83.440000,79.963680,-92.400000,-72.310000,52.868429
77,-80.100000,-78.760000,67.778887,-121.700000,-79.080000,62.515898
78,-44.500000,-72.490000,58.438372,-101.700000,-84.540000,71.049337
79,-135.200000,-80.430000,68.135992,-52.100000,-83.190000,71.516226
80,-103.200000,-80.870000,69.133515,-62.300000,-78.190000,66.364336
81,-64.000000,-80.600000,68.718769,-65.500000,-78.260000,65.471659
82,-93.600000,-82.280000,69.414868,-53.000000,-77.430000,65.810453
83,-72.500000,-82.670000,67.213066,-48.500000,-74.190000,61.714398
84,-97.500000,-84.980000,69.125161,-61.500000,-72.570000,65.128498
85,-79.600000,-85.740000,74.270796,-55.500000,-71.420000,65.323474
86,-74.300000,-84.450000,76.519347,-53.500000,-67.530000,55.585860
87,-129.300000,-89.370000,77.782385,-37.800000,-59.140000,45.850336
88,-49.200000,-89.840000,78.245613,-52.500000,-54.220000,36.444442
89,-58.600000,-82.180000,66.539524,-99.600000,-58.970000,42.144399
90,-81.400000,-80.000000,66.739211,-53.100000,-58.050000,40.746966
91,-85.800000,-82.180000,72.604635,-34.700000,-54.970000,39.351780
92,-68.100000,-79.630000,73.758240,-58.100000,-55.480000,39.788791
93,-96.200000,-82.000000,75.185052,-44.900000,-55.120000,38.154435
94,-52.200000,-77.470000,71.651350,-62.400000,-55.210000,41.642071
95,-32.100000,-72.720000,65.533922,-57.000000,-55.360000,42.067819
96,-76.000000,-72.890000,66.459611,-47.900000,-54.800000,43.485989
97,-49.200000,-64.880000,59.210119,-38.200000,-54.840000,43.565391
98,-73.500000,-67.310000,62.625603,-47.000000,-54.290000,41.351291
99,-51.800000,-66.630000,60.061089,-54.200000,-49.750000,31.298206
100,-67.500000,-65.240000,54.634553,-83.000000,-52.740000,34.551681
101,-87.000000,-65.360000,56.250043,-44.900000,-53.760000,34.868183
102,-60.300000,-64.580000,55.310696,-35.800000,-51.530000,34.757054
103,-70.100000,-61.970000,52.657028,-38.800000,-50.920000,34.541744
104,-83.600000,-65.110000,54.487084,-61.200000,-50.800000,35.201624
105,-48.600000,-66.760000,54.315673,-54.900000,-50.590000,35.453743
106,-53.900000,-64.550000,49.860434,-86.500000,-54.450000,44.729875
107,-70.800000,-66.710000,54.393683,-81.300000,-58.760000,49.681468
108,-84.600000,-67.820000,57.110941,-87.200000,-62.780000,58.249158
109,-54.900000,-68.130000,56.678916,-32.600000,-60.620000,56.583096
110,-47.500000,-66.130000,56.500820,-79.700000,-60.290000,54.393625
111,-78.600000,-65.290000,52.770248,-60.500000,-61.850000,57.497353
112,-53.000000,-64.560000,53.058102,-57.500000,-64.020000,57.608086
113,-61.900000,-63.740000,50.930802,-48.100000,-64.950000,58.572819
114,-83.600000,-63.740000,51.285605,-47.200000,-63.550000,57.864196
115,-41.900000,-63.070000,51.251109,-69.000000,-64.960000,57.711333
116,-90.200000,-66.700000,54.733585,-42.000000,-60.510000,52.347274
117,-30.000000,-62.620000,50.848390,-43.300000,-56.710000,44.641429
118,-29.300000,-57.090000,47.174264,-70.100000,-55.000000,39.317899
119,-44.400000,-56.040000,46.962723,-67.500000,-58.490000,41.453323
120,-101.000000,-61.390000,54.965669,-45.500000,-55.070000,36.371524
121,-29.100000,-56.440000,52.009479,-42.000000,-53.220000,35.714985
122,-54.700000,-56.610000,51.135801,-35.800000,-51.050000,32.271039
123,-29.200000,-53.340000,49.658456,-54.000000,-51.640000,32.820564
124,-77.000000,-52.680000,51.583391,-46.800000,-51.600000,32.344338
125,-63.900000,-54.880000,50.169438,-45.700000,-49.270000,28.179559
126,-57.400000,-51.600000,45.180840,-42.500000,-49.320000,28.919576
127,-47.500000,-53.350000,49.526539,-37.500000,-48.740000,27.764833
128,-41.500000,-54.570000,50.289358,-44.200000,-46.150000,26.343794
129,-39.000000,-54.030000,47.964942,-77.300000,-47.130000,31.423674
130,-52.500000,-49.180000,43.480209,-36.200000,-46.200000,30.428921
131,-83.100000,-54.580000,48.736964,-33.600000,-45.360000,30.224606
132,-99.000000,-59.010000,58.418375,-43.800000,-46.160000,32.829254
133,-67.100000,-62.800000,62.049621,-29.100000,-43.670000,28.926678
134,-70.500000,-62.150000,63.220776,-56.400000,-44.630000,29.490031
135,-62.900000,-62.050000,62.692264,-26.400000,-42.700000,27.995755
136,-35.900000,-59.900000,59.727484,-43.000000,-42.750000,30.418256
137,-39.800000,-59.130000,58.579666,-65.100000,-45.510000,37.049326
138,-44.200000,-59.400000,59.316923,-68.300000,-47.920000,38.308122
139,-50.500000,-60.550000,63.153101,-53.700000,-45.560000,36.101736
140,-27.700000,-58.070000,62.875759,-42.400000,-46.180000,37.334234
141,-48.200000,-54.580000,56.281735,-61.500000,-48.970000,42.706369
142,-86.000000,-53.280000,53.225536,-26.500000,-47.240000,41.738583
143,-81.300000,-54.700000,51.440349,-27.400000,-47.070000,41.764669
144,-59.200000,-53.570000,50.871761,-39.800000,-45.410000,39.072012
145,-50.400000,-52.320000,51.083470,-28.300000,-45.600000,39.203102
146,-62.700000,-55.000000,53.996014,-30.000000,-44.300000,38.178356
147,-74.800000,-58.500000,55.705664,-46.700000,-42.460000,34.472732
148,-36.500000,-57.730000,55.341570,-29.500000,-38.580000,30.008173
149,-62.500000,-58.930000,53.269211,-54.800000,-38.690000,28.354306
150,-31.600000,-59.320000,54.782349,-49.800000,-39.430000,30.224200
151,-45.400000,-59.040000,54.432605,-30.500000,-36.330000,24.100595
152,-62.100000,-56.650000,56.272805,-36.100000,-37.290000,26.606954
153,-46.200000,-53.140000,53.783950,-40.300000,-38.580000,27.578263
154,-40.400000,-51.260000,45.240224,-31.500000,-37.750000,25.308333
155,-41.600000,-50.380000,47.877330,-28.500000,-37.770000,24.728242
156,-48.000000,-48.910000,45.009583,-27.100000,-37.480000,24.593106
157,-45.200000,-45.950000,40.348470,-44.900000,-37.300000,22.858647
158,-79.500000,-50.250000,46.298898,-39.900000,-38.340000,25.942344
159,-78.000000,-51.800000,50.816826,-53.800000,-38.240000,26.012440
160,-60.100000,-54.650000,53.283431,-39.400000,-37.200000,24.011903
161,-52.400000,-55.350000,52.397902,-36.800000,-37.830000,26.042237
162,-71.700000,-56.310000,52.521872,-27.000000,-36.920000,25.342605
163,-47.300000,-56.420000,52.681492,-29.900000,-35.880000,24.742891
164,-47.500000,-57.130000,53.794564,-49.300000,-37.660000,27.906720
165,-36.600000,-56.630000,53.346478,-31.400000,-37.950000,27.920112
166,-81.200000,-59.950000,55.869149,-25.300000,-37.770000,28.084065
167,-67.200000,-62.150000,60.383668,-49.200000,-38.200000,28.956310
168,-69.700000,-61.170000,61.069854,-26.400000,-36.850000,26.021022
169,-43.700000,-57.740000,57.427121,-60.700000,-37.540000,30.986093
170,-57.200000,-57.450000,56.370361,-26.600000,-36.260000,29.863877
171,-92.400000,-61.450000,63.541068,-28.000000,-35.380000,27.127466
172,-36.600000,-57.940000,60.367462,-25.500000,-35.230000,26.995879
173,-22.000000,-55.410000,58.905937,-29.400000,-35.180000,27.186369
174,-121.500000,-62.810000,66.818315,-28.100000,-33.060000,21.641942
175,-68.200000,-65.970000,68.823375,-25.200000,-32.440000,21.619189
176,-45.200000,-62.370000,62.957341,-26.500000,-32.560000,21.793275
177,-24.200000,-58.070000,61.576439,-26.100000,-30.250000,15.924933
178,-67.100000,-57.810000,55.277218,-50.200000,-32.630000,22.310044
179,-54.300000,-58.870000,53.865281,-28.800000,-29.440000,12.833795
180,-25.500000,-55.700000,53.229475,-37.500000,-30.530000,15.510575
181,-36.100000,-50.070000,49.201370,-51.500000,-32.880000,21.482885
182,-45.300000,-50.940000,50.512560,-55.400000,-35.870000,28.128573
183,-41.000000,-52.840000,50.113207,-37.500000,-36.680000,28.874871
184,-53.700000,-46.060000,42.021026,-36.200000,-37.490000,31.095757
185,-41.900000,-43.430000,39.990121,-42.200000,-39.190000,31.750476
186,-48.700000,-43.780000,43.016498,-37.000000,-40.240000,34.490994
187,-42.400000,-45.600000,48.824466,-35.400000,-41.170000,34.981004
188,-51.600000,-44.050000,49.077777,-31.200000,-39.270000,30.662371
189,-44.800000,-43.100000,46.480768,-36.200000,-40.010000,33.097736
190,-45.600000,-45.110000,48.166029,-26.700000,-38.930000,29.939113
191,-45.000000,-46.000000,51.204438,-42.600000,-38.040000,30.379314
192,-31.100000,-44.580000,48.371293,-37.800000,-36.280000,25.652603
193,-68.000000,-47.280000,49.442810,-25.100000,-35.040000,22.949237
194,-20.300000,-43.940000,40.524843,-24.600000,-33.880000,20.010329
195,-34.200000,-43.170000,39.322415,-26.400000,-32.300000,18.448080
196,-44.600000,-42.760000,39.125077,-22.600000,-30.860000,17.577122
197,-76.500000,-46.170000,44.603491,-24.500000,-29.770000,15.109254
198,-43.400000,-45.350000,44.483946,-24.300000,-29.080000,14.176186
199,-89.000000,-49.770000,48.325051,-24.200000,-27.880000,11.440124
200,-33.100000,-48.520000,48.490958,-50.700000,-30.280000,16.124770
201,-31.000000,-47.120000,49.195635,-44.800000,-30.500000,19.103377
202,-22.200000,-46.230000,48.452840,-33.500000,-30.070000,16.854065
203,-88.400000,-48.270000,50.570566,-24.400000,-30.000000,16.806405
204,-43.200000,-50.560000,53.483179,-22.000000,-29.740000,17.026608
205,-67.900000,-53.930000,56.832088,-46.800000,-31.780000,21.019910
